Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
CS,Capela do Socorro,28,2,7.4
IP,Ipiranga,28,2,12.7
JA,Jabaquara,28,2,14.4
SA,Santo Amaro,28,2,12.3
VM,Vila Mariana,28,2,11.2
PA,Parelheiros ,28,2,8.999999999999998
AD,Cidade Ademar,28,2,11.6
MB,M Boi Mirim,1,3,3.7
CL,Campo Limpo,1,3,5.9
CS,Capela do Socorro,1,3,2.7
IP,Ipiranga,1,3,0.2
JA,Jabaquara,1,3,1.7
SA,Santo Amaro,1,3,5.9
VM,Vila Mariana,1,3,0.1
PA,Parelheiros ,1,3,0.7
AD,Cidade Ademar,1,3,5.2
MB,M Boi Mirim,2,3,0.0
CL,Campo Limpo,2,3,0.0
CS,Capela do Socorro,2,3,0.0
IP,Ipiranga,2,3,0.0
JA,Jabaquara,2,3,0.0
SA,Santo Amaro,2,3,0.0
VM,Vila Mariana,2,3,0.0
PA,Parelheiros ,2,3,0.0
AD,Cidade Ademar,2,3,0.0
MB,M Boi Mirim,3,3,4.5
CL,Campo Limpo,3,3,7.5
CS,Capela do Socorro,3,3,8.200000000000001
IP,Ipiranga,3,3,21.7
JA,Jabaquara,3,3,10.0
SA,Santo Amaro,3,3,2.4
VM,Vila Mariana,3,3,8.6
PA,Parelheiros ,3,3,10.3
AD,Cidade Ademar,3,3,7.2
MB,M Boi Mirim,4,3,0.3
CL,Campo Limpo,4,3,0.3
CS,Capela do Socorro,4,3,0.1
IP,Ipiranga,4,3,0.1
JA,Jabaquara,4,3,0.1
SA,Santo Amaro,4,3,0.1
VM,Vila Mariana,4,3,0.2
PA,Parelheiros ,4,3,0.6
AD,Cidade Ademar,4,3,0.1
MB,M Boi Mirim,5,3,8.1
CL,Campo Limpo,5,3,5.4
CS,Capela do Socorro,5,3,12.8
IP,Ipiranga,5,3,4.2
JA,Jabaquara,5,3,9.2
SA,Santo Amaro,5,3,9.8
VM,Vila Mariana,5,3,3.6
PA,Parelheiros ,5,3,21.200000000000003
AD,Cidade Ademar,5,3,10.1
MB,M Boi Mirim,6,3,16.7
CL,Campo Limpo,6,3,15.3
CS,Capela do Socorro,6,3,16.4
IP,Ipiranga,6,3,8.200000000000001
JA,Jabaquara,6,3,19.8
SA,Santo Amaro,6,3,14.8
VM,Vila Mariana,6,3,8.1
PA,Parelheiros ,6,3,26.3
AD,Cidade Ademar,6,3,15.6
MB,M Boi Mirim,7,3,1.1
CL,Campo Limpo,7,3,1.4
CS,Capela do Socorro,7,3,0.9
IP,Ipiranga,7,3,0.6
JA,Jabaquara,7,3,0.7999999999999999
SA,Santo Amaro,7,3,1.2
VM,Vila Mariana,7,3,0.7
PA,Parelheiros ,7,3,0.8999999999999999
AD,Cidade Ademar,7,3,1.1
MB,M Boi Mirim,8,3,34.900000000000006
CL,Campo Limpo,8,3,22.2
CS,Capela do Socorro,8,3,14.9
IP,Ipiranga,8,3,29.0
JA,Jabaquara,8,3,34.6
SA,Santo Amaro,8,3,40.7
VM,Vila Mariana,8,3,45.2
PA,Parelheiros ,8,3,8.6
AD,Cidade Ademar,8,3,27.9
MB,M Boi Mirim,9,3,3.1
CL,Campo Limpo,9,3,3.4
CS,Capela do Socorro,9,3,6.199999999999999
IP,Ipiranga,9,3,14.3
JA,Jabaquara,9,3,13.3
SA,Santo Amaro,9,3,5.1
VM,Vila Mariana,9,3,7.2
PA,Parelheiros ,9,3,3.5
AD,Cidade Ademar,9,3,18.5
MB,M Boi Mirim,10,3,40.49999999999999
CL,Campo Limpo,10,3,47.3
CS,Capela do Socorro,10,3,40.3
IP,Ipiranga,10,3,38.99999999999999
JA,Jabaquara,10,3,68.39999999999999
SA,Santo Amaro,10,3,57.6
VM,Vila Mariana,10,3,46.1
PA,Parelheiros ,10,3,17.799999999999997
AD,Cidade Ademar,10,3,66.70000000000002
MB,M Boi Mirim,11,3,8.600000000000001
CL,Campo Limpo,11,3,8.899999999999999
CS,Capela do Socorro,11,3,13.7
IP,Ipiranga,11,3,29.0
JA,Jabaquara,11,3,14.3
SA,Santo Amaro,11,3,6.1
VM,Vila Mariana,11,3,12.6
PA,Parelheiros ,11,3,10.9
AD,Cidade Ademar,11,3,5.3
MB,M Boi Mirim,12,3,24.3
CL,Campo Limpo,12,3,20.8
CS,Capela do Socorro,12,3,40.0
IP,Ipiranga,12,3,28.7
JA,Jabaquara,12,3,16.2
SA,Santo Amaro,12,3,15.9
VM,Vila Mariana,12,3,16.900000000000002
PA,Parelheiros ,12,3,21.500000000000004
AD,Cidade Ademar,12,3,27.4
MB,M Boi Mirim,13,3,20.7
CL,Campo Limpo,13,3,30.4
CS,Capela do Socorro,13,3,9.8
IP,Ipiranga,13,3,36.2
JA,Jabaquara,13,3,42.3
SA,Santo Amaro,13,3,36.6
VM,Vila Mariana,13,3,32.1
PA,Parelheiros ,13,3,1.7000000000000002
AD,Cidade Ademar,13,3,24.4
MB,M Boi Mirim,14,3,1.3
CL,Campo Limpo,14,3,5.3
CS,Capela do Socorro,14,3,2.0
IP,Ipiranga,14,3,3.8
JA,Jabaquara,14,3,2.8
SA,Santo Amaro,14,3,2.6
VM,Vila Mariana,14,3,4.5
PA,Parelheiros ,14,3,2.1
AD,Cidade Ademar,14,3,1.4
MB,M Boi Mirim,15,3,0.2
CL,Campo Limpo,15,3,0.0
CS,Capela do Socorro,15,3,0.0
IP,Ipiranga,15,3,0.0
JA,Jabaquara,15,3,0.0
SA,Santo Amaro,15,3,0.0
VM,Vila Mariana,15,3,0.0
PA,Parelheiros ,15,3,0.6
AD,Cidade Ademar,15,3,0.0
MB,M Boi Mirim,16,3,0.0
CL,Campo Limpo,16,3,0.0
CS,Capela do Socorro,16,3,0.0
IP,Ipiranga,16,3,0.0
JA,Jabaquara,16,3,0.0
SA,Santo Amaro,16,3,0.0
VM,Vila Mariana,16,3,0.0
