,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
7476,19.0,94.0,4.7,1.7,0.0,1.0
7477,20.0,90.0,3.6,1.8,0.0,0.0
7478,20.0,90.0,3.7,1.7,0.0,0.0
7479,19.8,94.0,3.5,1.8,0.0,1.0
7480,20.5,92.0,3.5,1.2,0.0,0.0
7481,20.7,91.0,5.0,1.9,0.0,0.0
7482,20.6,88.0,5.7,2.0,0.0,0.0
7483,20.3,89.0,5.0,2.9,0.0,0.0
7484,19.8,94.0,5.0,1.7,0.0,0.0
7485,19.4,94.0,4.4,1.8,0.0,1.0
7486,19.3,93.0,4.9,2.0,0.0,0.0
7487,19.0,97.0,4.6,1.3,0.0,0.0
7488,19.0,96.0,3.3,1.1,0.0,0.0
7489,19.3,95.0,2.9,1.5,0.0,0.0
7490,19.2,96.0,4.7,2.7,0.0,0.0
7491,19.1,96.0,5.1,2.5,0.0,0.0
7492,19.2,97.0,4.9,2.0,0.0,0.0
7493,19.1,97.0,5.4,1.9,0.0,0.0
7494,19.4,96.0,4.2,1.6,0.0,0.0
7495,19.4,95.0,3.5,1.3,0.0,0.0
7496,19.5,95.0,3.8,1.6,0.0,0.0
7497,19.7,94.0,4.5,2.6,0.0,0.0
7498,19.9,95.0,5.0,2.3,0.0,0.0
7499,20.4,94.0,4.1,1.9,0.0,0.0
7500,21.7,86.0,4.2,2.5,0.0,0.0
7501,22.2,85.0,4.2,1.9,0.0,0.0
7502,23.5,82.0,5.0,2.7,0.0,0.0
7503,23.9,76.0,5.5,2.7,0.0,0.0
7504,24.5,75.0,7.0,3.0,0.0,0.0
7505,24.1,78.0,7.5,3.6,0.0,0.0
7506,22.1,86.0,8.3,4.7,0.0,0.0
7507,20.9,91.0,9.4,3.4,0.0,1.0
7508,19.9,96.0,7.5,2.8,0.0,1.0
7509,19.9,96.0,6.2,2.3,0.0,0.0
7510,19.7,96.0,5.7,2.3,0.0,0.0
7511,19.8,96.0,5.4,2.1,0.0,0.0
7512,19.9,95.0,6.4,3.2,0.0,0.0
7513,19.8,96.0,6.4,2.3,0.0,0.0
7514,19.6,95.0,7.0,2.8,0.0,0.0
7515,19.8,94.0,4.9,1.3,0.0,0.0
7516,19.7,93.0,3.1,0.7,0.0,0.0
7517,19.5,95.0,2.0,0.5,0.0,0.0
7518,19.3,96.0,1.4,0.2,0.0,0.0
7519,20.0,91.0,3.2,1.1,0.0,0.0
7520,20.0,92.0,3.6,0.7,0.0,1.0
7521,20.6,89.0,3.1,0.5,0.0,0.0
7522,21.1,89.0,2.8,1.2,0.0,0.0
7523,22.1,86.0,3.2,1.2,0.0,1.0
7524,23.1,80.0,3.0,1.0,0.0,0.0
7525,24.3,76.0,2.5,0.8,0.0,0.0
7526,22.9,85.0,5.0,2.1,0.2,1.0
7527,21.7,91.0,9.3,2.9,3.6,0.0
7528,22.2,90.0,9.3,1.2,0.4,0.0
7529,23.8,81.0,5.7,1.1,0.0,0.0
7530,24.2,78.0,4.4,1.3,0.0,0.0
7531,22.6,86.0,4.5,0.7,0.0,0.0
7532,22.0,86.0,2.1,1.0,0.2,0.0
7533,21.8,88.0,1.9,1.2,0.0,3.0
7534,21.1,91.0,2.4,1.2,0.0,0.0
7535,20.7,95.0,3.2,1.1,0.0,0.0
7536,20.5,95.0,3.1,1.1,0.0,0.0
7537,20.2,95.0,3.7,1.4,0.0,0.0
7538,20.0,96.0,2.9,0.6,0.0,0.0
7539,19.8,96.0,2.0,0.4,0.0,0.0
7540,19.8,96.0,1.3,0.5,0.0,0.0
7541,19.7,96.0,1.7,0.6,0.0,0.0
7542,20.0,96.0,1.5,0.5,0.0,1.0
7543,19.0,94.0,6.8,3.1,0.2,1.0
7544,18.7,95.0,7.6,2.2,0.0,1.0
7545,18.7,96.0,5.6,2.2,0.0,2.0
7546,19.2,94.0,6.2,2.8,0.0,0.0
7547,18.6,95.0,6.7,2.6,0.0,0.0
7548,19.3,93.0,7.0,2.8,0.0,0.0
7549,19.7,89.0,6.8,3.0,0.0,0.0
7550,19.9,90.0,7.6,3.1,0.2,2.0
7551,19.3,88.0,7.5,3.7,0.0,0.0
7552,19.0,90.0,7.5,2.9,0.0,0.0
7553,18.5,92.0,7.0,2.9,0.0,0.0
7554,18.6,96.0,5.8,2.9,0.0,0.0
7555,19.1,91.0,7.7,3.6,0.0,1.0
7556,18.2,96.0,9.4,3.7,0.4,2.0
7557,18.2,96.0,8.0,3.9,0.6,5.0
7558,17.7,96.0,9.9,4.7,0.4,0.0
7559,17.1,96.0,9.9,3.6,0.0,0.0
7560,17.4,96.0,8.7,4.4,0.2,0.0
7561,17.2,95.0,9.1,3.2,0.2,0.0
7562,17.3,96.0,7.6,3.3,0.2,0.0
7563,17.4,95.0,6.3,2.8,0.0,2.0
7564,17.4,96.0,6.9,2.9,0.0,0.0
7565,17.0,96.0,10.6,3.8,0.4,0.0
7566,17.1,96.0,10.6,3.1,0.0,0.0
7567,16.9,96.0,6.6,2.8,0.0,0.0
7568,17.1,94.0,7.3,3.4,0.0,1.0
7569,17.2,93.0,7.8,2.9,0.0,1.0
7570,17.6,89.0,7.8,3.2,0.0,0.0
7571,18.8,85.0,7.0,3.7,0.0,0.0
7572,18.3,89.0,7.2,3.9,0.0,0.0
7573,19.2,86.0,9.9,3.5,0.0,1.0
7574,19.6,86.0,8.7,4.1,0.0,1.0
7575,21.7,84.0,8.7,4.2,0.0,1.0
7576,20.2,85.0,10.1,4.6,0.0,1.0
7577,19.7,87.0,9.4,4.8,0.0,1.0
7578,18.7,92.0,10.0,4.6,0.0,0.0
7579,18.2,92.0,9.5,3.8,0.0,0.0
7580,17.5,97.0,8.8,4.3,0.0,2.0
7581,17.5,96.0,9.7,4.5,0.0,0.0
7582,17.2,97.0,9.7,3.9,0.0,0.0
7583,17.2,97.0,9.2,3.4,0.0,0.0
7584,17.6,94.0,9.6,3.7,0.0,0.0
7585,17.6,92.0,9.4,3.6,0.0,2.0
7586,17.6,92.0,8.1,2.9,0.0,0.0
7587,17.6,92.0,6.9,2.3,0.0,0.0
7588,17.6,90.0,7.0,2.8,0.0,0.0
7589,17.5,90.0,6.2,2.4,0.0,0.0
7590,17.4,91.0,5.8,2.7,0.0,0.0
7591,17.4,91.0,5.5,1.9,0.0,1.0
7592,16.9,92.0,4.3,1.3,0.0,0.0
7593,17.4,91.0,3.6,1.4,0.0,0.0
7594,18.3,84.0,6.1,2.2,0.0,1.0
7595,19.9,77.0,8.1,2.8,0.0,0.0
7596,21.3,72.0,6.5,1.9,0.0,0.0
7597,22.7,67.0,6.0,1.9,0.0,0.0
7598,24.2,64.0,5.2,2.2,0.0,1.0
7599,24.8,64.0,6.4,2.7,0.0,1.0
7600,23.6,74.0,7.4,3.2,0.0,1.0
7601,22.3,79.0,7.8,4.7,0.0,0.0
7602,20.7,85.0,8.1,3.9,0.0,1.0
7603,19.6,90.0,7.2,3.2,0.0,0.0
7604,18.6,95.0,8.5,3.4,0.0,0.0
7605,18.2,96.0,6.4,2.8,0.0,0.0
7606,18.2,96.0,6.0,2.6,0.0,0.0
7607,18.2,94.0,5.3,2.6,0.0,0.0
7608,18.5,94.0,4.6,1.8,0.0,0.0
7609,18.6,94.0,3.5,1.6,0.0,0.0
7610,18.9,94.0,3.2,0.7,0.0,1.0
7611,20.0,89.0,2.9,1.3,0.0,0.0
7612,20.3,86.0,5.5,2.0,0.0,0.0
7613,20.2,88.0,5.1,1.8,0.0,1.0
7614,20.1,88.0,5.1,1.3,0.0,0.0
7615,19.6,96.0,3.8,0.9,0.2,0.0
7616,19.8,95.0,5.0,1.6,0.4,1.0
7617,19.6,95.0,5.1,1.3,0.0,0.0
7618,19.7,95.0,4.9,1.7,0.4,3.0
7619,19.7,95.0,4.2,1.5,0.8,3.0
7620,20.4,94.0,4.0,1.4,0.4,0.0
7621,21.5,89.0,6.0,2.1,0.4,1.0
7622,22.7,83.0,5.3,2.5,0.0,0.0
7623,23.6,81.0,5.3,2.0,0.0,2.0
7624,24.1,81.0,5.9,2.1,0.0,3.0
7625,25.9,70.0,7.2,2.5,0.0,1.0
7626,25.6,69.0,9.8,3.5,0.0,0.0
7627,25.9,68.0,9.8,3.0,0.0,2.0
7628,26.0,65.0,9.8,3.9,0.0,0.0
7629,25.1,68.0,9.1,2.8,0.0,0.0
7630,24.0,74.0,8.5,2.3,0.0,4.0
7631,20.8,97.0,11.9,1.7,9.8,0.0
7632,20.4,96.0,6.1,2.5,0.2,0.0
7633,20.5,96.0,9.3,3.1,0.6,0.0
7634,20.5,96.0,7.9,2.6,1.2,0.0
7635,20.1,96.0,8.4,3.1,0.2,1.0
7636,20.0,95.0,8.4,1.7,0.0,1.0
7637,20.0,95.0,5.4,1.5,0.0,0.0
7638,20.0,95.0,4.7,1.8,0.0,1.0
7639,20.1,94.0,6.3,1.5,0.0,1.0
7640,20.0,94.0,5.0,1.6,0.0,2.0
7641,19.8,96.0,3.9,0.7,0.2,1.0
7642,17.7,92.0,6.4,2.5,0.0,1.0
7643,17.0,95.0,5.7,1.9,3.0,0.0
7644,17.4,94.0,5.4,2.1,0.2,0.0
7645,17.1,91.0,6.6,2.2,2.0,0.0
7646,17.0,94.0,6.1,1.9,1.6,1.0
7647,18.7,88.0,4.3,2.2,0.4,0.0
7648,19.3,80.0,5.3,2.5,0.0,0.0
7649,19.8,77.0,6.1,3.6,0.0,0.0
7650,18.9,84.0,7.7,2.7,0.0,0.0
