Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
18.3,100.0,1.1,2.8,0.0,1.0
19.7,100.0,1.5,3.2,0.0,1.0
21.3,93.0,2.0,4.9,0.0,1.0
23.0,89.0,3.1,6.9,0.0,1.0
23.7,84.0,3.1,6.9,0.0,1.0
25.8,73.0,4.2,9.1,0.0,3.0
25.6,73.0,3.2,9.5,0.0,0.0
25.8,71.0,3.1,7.8,0.0,1.0
26.6,66.0,2.7,7.7,0.0,0.0
27.7,56.0,2.6,7.0,0.0,0.0
24.3,77.0,3.2,9.1,0.0,1.0
23.7,97.0,0.5,9.1,0.8,0.0
23.2,94.0,1.3,3.5,0.0,0.0
21.8,100.0,2.6,4.7,0.0,3.0
21.2,100.0,2.7,6.2,0.0,0.0
20.9,100.0,1.4,6.2,0.0,0.0
20.4,100.0,0.3,2.9,0.0,0.0
20.2,100.0,0.4,0.9,0.0,0.0
20.4,100.0,0.8,1.7,0.0,0.0
21.3,100.0,0.8,2.0,0.0,0.0
20.7,100.0,0.7,2.2,0.0,0.0
20.3,100.0,1.5,3.1,0.0,0.0
20.5,100.0,2.0,4.2,0.0,0.0
20.3,100.0,2.0,4.8,0.0,0.0
20.2,100.0,2.1,6.8,0.6,0.0
20.8,100.0,2.5,7.2,0.0,1.0
23.3,88.0,3.6,7.1,0.0,0.0
24.8,82.0,2.5,7.9,0.0,1.0
26.7,74.0,3.8,9.0,0.0,1.0
27.4,64.0,4.3,10.8,0.0,1.0
27.9,62.0,3.6,11.4,0.0,1.0
25.8,64.0,4.5,11.9,0.0,0.0
28.1,54.0,4.0,11.9,0.0,1.0
29.7,50.0,2.3,10.6,0.0,1.0
23.2,100.0,1.2,13.2,2.6,1.0
26.1,71.0,3.5,8.3,0.0,1.0
24.4,81.0,2.4,7.5,0.0,0.0
23.0,90.0,1.5,6.1,0.0,0.0
22.6,92.0,1.3,4.0,0.0,0.0
22.9,90.0,2.0,4.3,0.0,0.0
23.0,77.0,3.9,8.7,0.0,0.0
19.6,100.0,2.4,8.7,0.0,1.0
19.2,100.0,1.2,5.1,0.0,0.0
19.6,100.0,1.1,3.4,0.0,0.0
19.7,100.0,1.0,3.2,0.0,0.0
19.4,100.0,1.0,3.4,0.0,0.0
18.9,100.0,1.4,3.2,0.0,0.0
19.3,100.0,2.4,5.3,0.0,1.0
19.7,100.0,2.8,6.8,0.0,1.0
20.6,100.0,2.8,6.8,0.0,0.0
22.4,91.0,3.3,8.4,0.0,3.0
23.4,85.0,4.1,9.1,0.0,0.0
23.7,83.0,3.7,9.7,0.0,1.0
25.1,79.0,3.7,9.6,0.0,0.0
26.3,71.0,3.5,11.5,0.0,1.0
28.1,60.0,4.3,10.1,0.0,0.0
29.4,49.0,3.1,9.1,0.2,4.0
27.9,54.0,2.8,10.0,0.0,0.0
26.7,66.0,1.9,6.9,0.0,0.0
27.2,60.0,2.9,7.1,0.0,1.0
26.8,62.0,1.8,6.3,0.0,1.0
24.8,72.0,0.9,3.5,0.0,0.0
24.1,77.0,0.3,2.0,0.0,1.0
23.1,90.0,0.8,2.3,0.0,0.0
22.7,94.0,1.0,2.5,0.0,0.0
23.7,88.0,1.4,5.7,0.0,0.0
22.7,92.0,1.4,5.9,0.0,0.0
22.0,98.0,1.1,3.7,0.0,0.0
22.2,96.0,1.5,3.3,0.0,0.0
21.5,98.0,1.2,3.5,0.0,0.0
21.6,99.0,1.1,2.8,0.0,0.0
21.3,98.0,0.9,2.8,0.0,0.0
21.7,96.0,1.0,2.0,0.0,0.0
23.6,88.0,1.7,3.9,0.0,1.0
24.7,81.0,2.4,4.8,0.0,0.0
26.8,68.0,2.2,4.8,0.0,0.0
28.9,59.0,3.2,8.1,0.0,0.0
30.2,49.0,2.9,9.5,0.0,1.0
31.5,45.0,3.0,8.5,0.0,1.0
30.1,51.0,3.0,7.4,0.0,0.0
30.1,51.0,1.4,7.4,0.0,0.0
30.2,49.0,1.8,6.5,0.0,0.0
26.1,85.0,3.2,6.9,0.0,0.0
21.6,99.0,3.2,10.0,1.2,0.0
19.9,100.0,2.4,13.7,46.2,0.0
20.2,100.0,1.2,4.6,0.2,0.0
20.4,100.0,0.7,2.6,0.0,0.0
20.7,100.0,0.8,2.7,0.0,0.0
20.9,100.0,0.8,1.4,0.0,0.0
21.2,100.0,0.8,2.2,0.0,0.0
21.9,100.0,1.0,2.9,0.0,0.0
21.5,100.0,0.3,2.6,0.0,0.0
21.2,100.0,0.7,1.9,0.0,0.0
21.0,100.0,0.4,1.3,0.0,0.0
21.3,100.0,0.8,1.3,0.0,0.0
21.2,100.0,0.7,1.4,0.0,0.0
21.2,100.0,0.6,1.6,0.0,1.0
22.3,100.0,1.2,2.5,0.0,0.0
23.4,97.0,1.8,3.5,0.0,0.0
25.5,84.0,1.2,3.9,0.0,0.0
26.9,78.0,1.2,2.9,0.0,0.0
28.5,68.0,1.4,3.6,0.0,1.0
29.3,71.0,2.3,4.1,0.0,0.0
30.0,67.0,2.5,4.9,0.0,1.0
28.6,79.0,3.7,7.7,0.0,0.0
24.6,93.0,4.1,9.6,0.0,0.0
23.4,93.0,1.2,9.1,0.0,0.0
23.7,96.0,4.0,7.9,0.0,0.0
22.9,100.0,2.4,7.9,0.0,0.0
22.6,100.0,3.2,5.6,0.4,0.0
22.4,100.0,2.1,6.5,0.0,0.0
22.3,100.0,1.9,4.9,0.0,0.0
22.4,100.0,2.4,5.1,0.0,1.0
22.2,100.0,2.2,5.1,0.0,0.0
22.0,100.0,1.0,4.4,0.0,0.0
21.7,100.0,1.9,4.3,0.0,0.0
